latitude;longitude;GoPlaceIt_CL;PortalInmobiliario;Yapo
-33.4662945;-70.6282409;;2.0;1.0
-33.466289;-70.6487476;1.0;;1.0
-33.4662704;-70.6360474;;1.0;
-33.4662696;-70.6360439;;3.0;
-33.466258;-70.649374;;;1.0
-33.466242;-70.62706;1.0;;
-33.4662296;-70.6498207;2.0;;
-33.4662296;-70.64982069999999;;;2.0
-33.4662077;-70.6498236;;;2.0
-33.4662077;-70.64982359999999;1.0;;
-33.466206971417;-70.654638290143;1.0;;
-33.4662039;-70.675768;;1.0;
-33.4661974;-70.6286711;;1.0;
-33.4661817;-70.6270206;;1.0;
-33.466171;-70.654677;1.0;;
-33.466146111814;-70.6535139076;1.0;;
-33.4661102;-70.6297913;;1.0;
-33.4661091;-70.6300851;;1.0;
-33.4661085;-70.6297939;2.0;2.0;2.0
-33.466093459969;-70.64872669248;1.0;;
-33.4660826;-70.6757968;;1.0;
-33.466077;-70.6305436;;1.0;
-33.466076;-70.63055;;1.0;
-33.4660759;-70.63055;;2.0;
-33.466075897217;-70.630546569824;1.0;;
-33.4660744;-70.6282161;;1.0;
-33.466060605956;-70.649852120867;1.0;;1.0
-33.4660492;-70.6344604;;1.0;
-33.4660263;-70.6299457;;1.0;
-33.4660196;-70.6297525;2.0;3.0;
-33.466019;-70.629753;2.0;2.0;
